id_cidade;esta_disponivel;cidade;estado;uf;pais
5f517b48c13e960021459f0c;false;Campinas;São Paulo;SP;Brasil
5f6a179af309620021ca264d;true;São Paulo;São Paulo;SP;Brasil
5f760d9d6ab32d0021e8b67c;false;Bento Gonçalves;Rio Grande do Sul;RS;Brasil
5f7dc164f266b40021daebf2;false;Ribeirão Preto;São Paulo;SP;Brasil
5f8788604c809d002148ab24;false;Osasco;São Paulo;SP;Brasil
5f8ca2c317f3b3002134fcab;false;Angra dos Reis;Rio de Janeiro;RJ;Brasil
5f8ca7e217f3b300213505bd;false;Aracaju;Sergipe;SE;Brasil
5f8ca9a017f3b30021350847;false;Carazinho;Rio Grande do Sul;RS;Brasil
5f8cc71e17f3b30021352d7a;false;Rio de Janeiro;Rio de Janeiro;RJ;Brasil
5f8cd3e048de890021a674d5;false;Guarujá;São Paulo;SP;Brasil
5f8cd6ef48de890021a67a83;false;Natal;Rio Grande do Norte;RN;Brasil
5f8cdeea48de890021a684be;false;Maceió;Alagoas;AL;Brasil
5f8cffac48de890021a69b22;false;Santos;São Paulo;SP;Brasil
5f8d397548de890021a6be87;false;Guarulhos;São Paulo;SP;Brasil
5f8d5f1c48de890021a6ce88;false;Brasília;Distrito Federal;DF;Brasil
5f8d685948de890021a6d1d3;false;Itatiaia;Rio de Janeiro;RJ;Brasil
5f8d791a48de890021a6d981;false;Itatiba;São Paulo;SP;Brasil
5f8d808048de890021a6e558;false;Santa Luzia;Minas Gerais;MG;Brasil
5f8d816448de890021a6e5cf;false;Volta Redonda;Rio de Janeiro;RJ;Brasil
5f8d88bf48de890021a6f271;false;Carapebus;Espírito Santo;ES;Brasil
5f8d925b48de890021a6ffc1;false;Arujá;São Paulo;SP;Brasil
5f8d96a648de890021a70674;false;São Bernardo do Campo;São Paulo;SP;Brasil
5f8da1da48de890021a71c8b;false;Taboão da Serra;São Paulo;SP;Brasil
5f8da61f48de890021a72626;false;São José dos Campos;São Paulo;SP;Brasil
5f8da7ff48de890021a727f8;false;Porto Alegre;Rio Grande do Sul;RS;Brasil
5f8da83c48de890021a728a8;true;Santo André;São Paulo;SP;Brasil
5f8db3fe48de890021a74791;false;Barra Mansa;Rio de Janeiro;RJ;Brasil
5f8db5ee48de890021a7485a;false;Barueri;São Paulo;SP;Brasil
5f8dbaf948de890021a7509b;false;Curitiba;Paraná;PR;Brasil
5f8dbca848de890021a753b7;false;Niterói;Rio de Janeiro;RJ;Brasil
5f8dc0c648de890021a76a2d;false;Diadema;São Paulo;SP;Brasil
5f8dc16348de890021a77019;false;Santana de Parnaíba;São Paulo;SP;Brasil
5f8dcb7e48de890021a78396;false;Belo Horizonte;Minas Gerais;MG;Brasil
5f8dd59448de890021a7971e;false;Taubaté;São Paulo;SP;Brasil
5f8dda1c48de890021a7a1ac;false;Valinhos;São Paulo;SP;Brasil
5f8ddbd148de890021a7a3be;false;Avaré;São Paulo;SP;Brasil
5f8dde0e48de890021a7a74d;false;Sabino;São Paulo;SP;Brasil
5f8dfea948de890021a7e0d2;false;Fortaleza;Ceará;CE;Brasil
5f8e03ce48de890021a7e858;false;Poá;São Paulo;SP;Brasil
5f8e14cb48de890021a81820;false;São Gonçalo;Rio de Janeiro;RJ;Brasil
5f8e16e248de890021a81f47;false;Ibiúna;São Paulo;SP;Brasil
5f8e3142002de60021d0c724;false;Itapevi;São Paulo;SP;Brasil
5f8e3586002de60021d0cc60;false;São Paulo de Olivença;Amazonas;AM;Brasil
5f8e565a002de60021d0e90c;false;Manaus;Amazonas;AM;Brasil
5f8e6de4002de60021d104fe;false;Embu das Artes;São Paulo;SP;Brasil
5f8ed619002de60021d13db4;false;Marília;São Paulo;SP;Brasil
5f8ed638002de60021d13dbd;false;Bauru;São Paulo;SP;Brasil
5f8ef2d0002de60021d1610a;false;Campo Grande;Mato Grosso do Sul;MS;Brasil
5f8ef6d2002de60021d167c7;false;Maringá;Paraná;PR;Brasil
5f8f11dc002de60021d19f7c;false;Salvador;Bahia;BA;Brasil
5f8f1934002de60021d1a72d;false;Jandira;São Paulo;SP;Brasil
5f8f2d6a002de60021d1ca3d;false;Goiânia;Goiás;GO;Brasil
5f8f3da3002de60021d1e47f;false;Esteio;Rio Grande do Sul;RS;Brasil
5f8f4507002de60021d1eb26;false;Monte Mor;São Paulo;SP;Brasil
5f8f457e002de60021d1eb63;false;Juiz de Fora;Minas Gerais;MG;Brasil
5f8f473a002de60021d1edde;false;Vilhena;Rondônia;RO;Brasil
5f8f4d91002de60021d1f4db;false;Joinville;Santa Catarina;SC;Brasil
5f8f5124002de60021d1f84a;false;Franco da Rocha;São Paulo;SP;Brasil
5f8f7a535418a5002102659f;false;Guarantã do Norte;Mato Grosso;MT;Brasil
5f8fd4745418a5002102d197;false;Biguaçu;Santa Catarina;SC;Brasil
5f9011575418a5002102eeb4;false;Vinhedo;São Paulo;SP;Brasil
5f9028a85418a5002103003b;false;Carapicuíba;São Paulo;SP;Brasil
5f902fab5418a5002103086b;false;Luanda;Pernambuco;PE;Brasil
5f902fab5418a5002103086c;false;Luanda;Luanda;Luanda;Angola
5f90362d5418a50021030c0c;false;Coronel Fabriciano;Minas Gerais;MG;Brasil
5f904c0d5418a500210320ce;false;São José do Rio Preto;São Paulo;SP;Brasil
5f904c6c5418a500210322cb;false;Sorocaba;São Paulo;SP;Brasil
5f904c6c5418a500210322cc;false;Bagé;Rio Grande do Sul;RS;Brasil
5f9057345418a50021034f7e;false;São Luís;Maranhão;MA;Brasil
5f9057ce5418a500210351f2;false;Olinda;Pernambuco;PE;Brasil
5f9058415418a50021035443;false;Suzano;São Paulo;SP;Brasil
5f9059ac5418a50021035993;false;Formosa;Goiás;GO;Brasil
5f905b505418a500210360d3;false;Recife;Pernambuco;PE;Brasil
5f905fda5418a50021036bbd;false;Maricá;Rio de Janeiro;RJ;Brasil
5f90609d5418a50021036e69;false;Bragança Paulista;São Paulo;SP;Brasil
5f9062f85418a500210375b5;false;Andradas;Minas Gerais;MG;Brasil
5f9064a25418a50021037a3d;false;Serra;Espírito Santo;ES;Brasil
5f9064b25418a50021037a82;false;Vitória;Espírito Santo;ES;Brasil
5f90650c5418a50021037ce5;false;Aparecida de Goiânia;Goiás;GO;Brasil
5f9066a15418a5002103812c;false;Jundiaí;São Paulo;SP;Brasil
5f9067f25418a50021038696;false;Sumaré;São Paulo;SP;Brasil
5f90682d5418a50021038807;false;Contagem;Minas Gerais;MG;Brasil
5f9068c35418a500210389f7;false;João Pessoa;Paraíba;PB;Brasil
5f9069e75418a50021038ebe;false;Belo Jardim;Pernambuco;PE;Brasil
5f906ef05418a50021039ac0;false;Manoel Ribas;Paraná;PR;Brasil
5f9072b75418a5002103a56c;false;São Sebastião;São Paulo;SP;Brasil
5f907bbb5418a5002103c0fa;false;Cuiabá;Mato Grosso;MT;Brasil
5f9086ec5418a5002103dd39;false;Mogi das Cruzes;São Paulo;SP;Brasil
5f9086f55418a5002103dd4c;false;Guararema;São Paulo;SP;Brasil
5f908b5e5418a5002103e94e;false;Paranavaí;Paraná;PR;Brasil
5f908d285418a5002103ed53;false;Aracruz;Espírito Santo;ES;Brasil
5f9098495418a5002104151e;false;Nova Iguaçu;Rio de Janeiro;RJ;Brasil
5f90a43b5418a500210432eb;false;São Carlos;São Paulo;SP;Brasil
5f90b8d45418a50021047814;false;Garuva;Santa Catarina;SC;Brasil
5f90c0905418a500210489b8;false;Vassouras;Rio de Janeiro;RJ;Brasil
5f90e19b958ea600219982f6;false;Uberlândia;Minas Gerais;MG;Brasil
5f90ec35958ea60021998df2;false;Palhoça;Santa Catarina;SC;Brasil
5f914b61958ea6002199cc80;false;Carpina;Pernambuco;PE;Brasil
5f917987958ea6002199fce8;false;Indaiatuba;São Paulo;SP;Brasil
5f917b38958ea6002199ffaa;false;São Paulo do Potengi;Rio Grande do Norte;RN;Brasil
5f9180d22b5796002157d6ad;false;Teutônia;Rio Grande do Sul;RS;Brasil
5f919d812b5796002158081b;false;Cruzeiro;São Paulo;SP;Brasil
5f91a19b2b579600215815cc;false;Rondonópolis;Mato Grosso;MT;Brasil
5f91a8ed2b579600215827ce;false;Pirenópolis;Goiás;GO;Brasil
5f91b13c2b57960021584018;false;Senador Canedo;Goiás;GO;Brasil
5f91b47a2b5796002158678c;false;Jaú;São Paulo;SP;Brasil
5f91b5da2b57960021586c9b;false;Criciúma;Santa Catarina;SC;Brasil
5f91b79a2b579600215878fe;false;Cantagalo;Rio de Janeiro;RJ;Brasil
5f91b7d02b579600215879fa;false;Canelinha;Santa Catarina;SC;Brasil
5f91b8492b57960021587cd6;false;Blumenau;Santa Catarina;SC;Brasil
5f91b9bc2b579600215880e3;false;Praia Grande;São Paulo;SP;Brasil
