id_produto_vendido;id_produto;id_variacao_selecionada;valor_medida;tipo_medida;numero_pessoas_servidas;preco;qtde;anotacao;subtotal;id_ordem
5f6a1ff1f309620021ca2821;5f6a1d08f309620021ca269c;5f6a1d08f309620021ca26a1;1;QUANTITY;1;1.1;1;;1.1;5f6a1ff1f309620021ca2822
5f6a30ee5e18160021760e8b;5f6a1d08f309620021ca269c;5f6a1d08f309620021ca26a2;2;QUANTITY;1;1.5;2;validação em dobro;4.6;5f6a2f3d5e18160021760db8
5f6a378a5e18160021760f69;5f6a1d08f309620021ca269c;5f6a1d08f309620021ca26a2;2;QUANTITY;1;1.5;1;;2.0;5f6a378a5e18160021760f6a
5f752e10628fd20021989fe1;5f6b8324455f7d0021af7077;5f6b8324455f7d0021af7079;1;WEIGHT;10;60.0;1;;60.0;5f752e10628fd20021989fe2
5f75c135628fd2002198a19b;5f6b8324455f7d0021af7077;5f6b8324455f7d0021af7079;1;WEIGHT;10;60.0;1;;60.0;5f75c135628fd2002198a19c
5f7620d46ab32d0021e8ba8d;5f6f6d468c135d00214d4100;5f6f6d468c135d00214d4103;1.5;WEIGHT;15;50.0;1;;50.0;5f7620d46ab32d0021e8ba8e
5f7771ab333d3e0021f11a04;5f652c8eb6e89a0021e22c77;5f652c8eb6e89a0021e22c79;1.5;WEIGHT;15;180.0;1;;180.0;5f7771ab333d3e0021f11a05
5f777fa2333d3e0021f11d1f;5f735f0aa2a8da00217ef7c2;5f735f0aa2a8da00217ef7c5;1.5;WEIGHT;12;40.0;1;;50.0;5f777fa2333d3e0021f11d20
5f77c0a7333d3e0021f1229f;5f6b8324455f7d0021af7077;5f6b8324455f7d0021af7079;1;WEIGHT;10;60.0;1;;60.0;5f77c0a7333d3e0021f122a0
5f7b6bdb1516ce00214d5d37;5f6958d51159b900219f6143;5f6958d51159b900219f6146;10;QUANTITY;5;29.9;5;;149.5;5f7b6bdb1516ce00214d5d38
5f7b86e81516ce00214d65b8;5f6a1d08f309620021ca269c;5f6a1d08f309620021ca26a1;1;QUANTITY;1;1.1;1;;1.4;5f7b86e81516ce00214d65b9
5f7bb7a31516ce00214d6826;5f7b16cfe5ea62002111e712;5f7b16cfe5ea62002111e714;0.06;WEIGHT;1;7.9;1;;7.9;5f7bb7a31516ce00214d6827
5f7dc741f266b40021daedb7;5f641f78b47ff900210865cc;5f692355805b01002172a33a;0.8;WEIGHT;6;79.0;1;;79.0;5f7dc741f266b40021daedb8
5f7dcdb5f266b40021daef30;5f6958d51159b900219f6143;5f6958d51159b900219f6146;10;QUANTITY;5;29.9;1;;29.9;5f7dcdb5f266b40021daef31
5f7dcdfff266b40021daef44;5f6421a3b47ff90021086700;5f692bb31159b900219f5cd2;10;QUANTITY;5;29.9;1;;29.9;5f7dcdb5f266b40021daef31
5f7dce8cf266b40021daef7d;5f6419efb47ff90021086592;5f69201f805b01002172a261;0.7;WEIGHT;6;59.0;1;;59.0;5f7dce8cf266b40021daef7e
5f7dd4e3f266b40021daf0a4;5f641e53b47ff900210865a0;5f692198805b01002172a299;0.7;WEIGHT;6;59.0;1;;59.0;5f7dd4e3f266b40021daf0a5
5f7dd7b0f266b40021daf1e3;5f641fbcb47ff900210865de;5f6924851159b900219f5a6a;0.7;WEIGHT;6;59.0;1;;59.0;5f7dd7b0f266b40021daf1e4
5f7dd833f266b40021daf22f;5f641e53b47ff900210865a0;5f692198805b01002172a298;1.2;WEIGHT;10;99.0;1;;99.0;5f7dd833f266b40021daf230
5f7dd851f266b40021daf28d;5f641e53b47ff900210865a0;5f692198805b01002172a298;1.2;WEIGHT;10;99.0;1;;99.0;5f7dd851f266b40021daf290
5f7dd885f266b40021daf2b9;5f641e53b47ff900210865a0;5f692198805b01002172a298;1.2;WEIGHT;10;99.0;1;;99.0;5f7dd890f266b40021daf2bc
